1990,111,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Almodóvar, Pedro"
1991,113,High Heels,Comedy,"Bosé, Miguel","Almodóvar, Pedro"
1983,104,"Dead Zone, The",Horror,"Walken, Christopher","Cronenberg, David"
1979,122,Cuba,Action,"Connery, Sean","Lester, Richard"
1978,94,Days of Heaven,Drama,"Gere, Richard","Malick, Terrence"
1983,140,Octopussy,Action,"Moore, Roger","Glen, John"
1984,101,Target Eagle,Action,"Connors, Chuck","Loma, José Antonio de la"
1989,99,"American Angels: Baptism of Blood, The",Drama,"Bergen, Robert D.","Sebastian, Beverly"
1985,104,Subway,Drama,"Lambert, Christopher","Besson, Luc"
1990,149,Camille Claudel,Drama,"Depardieu, Gérard","Nuytten, Bruno"
1982,188,Fanny and Alexander,Drama,"Ahlstedt, Börje","Bergman, Ingmar"
1982,117,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo","Bertolucci, Bernardo"
1966,103,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Lelouch, Claude"
1986,112,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis","Lelouch, Claude"
1966,103,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Lelouch, Claude"
1985,112,"Official Story, The",Drama,"Alterio, Hector","Puenzo, Luiz"
1976,150,"Lindbergh Kidnapping Case, The",Drama,"Hopkins, Anthony","Kulik, Buzz"
1929,84,Blackmail,Mystery,"Longden, John","Hitchcock, Alfred"
1963,109,Donovan's Reef,Comedy,"Wayne, John","Ford, John"
1988,110,Tucker: The Man & His Dream,Drama,"Bridges, Jeff","Coppola, Francis Ford"
1988,101,Scrooged,Comedy,"Murray, Bill","Donner, Richard"
1981,116,Raiders of the Lost Ark,Action,"Ford, Harrison","Spielberg, Steven"
1987,101,"Running Man, The",Science Fiction,"Schwarzenegger, Arnold","Glaser, Paul Michael"
1991,105,Predator 2,Action,"Glover, Danny","Hopkins, Stephen"
1988,127,Colors,Drama,"Penn, Sean","Hopper, Dennis"
1990,97,Zandalee,Drama,"Cage, Nicolas","Pillsbury, Sam"
1988,108,Miles from Home,Drama,"Anderson, Kevin","Sinise, Gary"
1989,88,Final Notice,Mystery,"Gerard, Gil","Stern, Steven Hilliard"
1979,110,Quintet,Drama,"Newman, Paul","Altman, Robert"
1960,90,"Devil's Eye, The",Drama,"Kulle, Jarl","Bergman, Ingmar"
1957,91,Wild Strawberries,Drama,"Sjöström, Victor","Bergman, Ingmar"
1956,96,"Seventh Seal, The",Drama,"Sydow, Max von","Bergman, Ingmar"
1992,90,Germicide,Drama,"Taylor, Rod",
1955,86,Dreams,Drama,"Björnstrand, Gunnar","Bergman, Ingmar"
1955,95,"Naked Night, The",Drama,"Björnstrand, Gunnar","Bergman, Ingmar"
1962,91,Through a Glass Darkly,Drama,"Björnstrand, Gunnar","Bergman, Ingmar"
1972,91,Cries & Whispers,Drama,"Josephson, Erland","Bergman, Ingmar"
1958,104,"Barbarian & the Geisha, The",Action,"Wayne, John","Huston, John"
1967,130,Casino Royale,Comedy,"Niven, David","Hughes, Ken"
1954,103,Elephant Walk,Drama,"Finch, Peter",
1979,121,Ten,Comedy,"Moore, Dudley","Edwards, Blake"
1983,118,"Man Who Loved Women, The",Comedy,"Reynolds, Burt","Edwards, Blake"
1966,190,Hawaii,Drama,"Sydow, Max von","Hill, George Roy"
1966,125,Torn Curtain,Mystery,"Newman, Paul","Hitchcock, Alfred"
1986,107,Duet for One,Drama,"Bates, Alan","Konchalovsky, Andrei"
1965,172,"Sound of Music, The",Music,"Plummer, Christopher","Wise, Robert"
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,"Cleese, John",
1984,140,Tartuffe,Comedy,"Depardieu, Gérard","Depardieu, Gérard"
1988,104,A New Life,Comedy,"Alda, Alan","Alda, Alan"
1978,106,Magic,Mystery,"Hopkins, Anthony","Attenborough, Richard"
1992,286,Tommy,Music,"Daltry, Roger","Russell, Ken"
1978,108,"Big Fix, The",Mystery,"Dreyfuss, Richard","Kagan, Jeremy Paul"
1992,95,Alan & Naomi,Drama,"Haas, Lukas","Vanwagenen, Sterling"
1987,120,Fatal Attraction,Mystery,"Douglas, Michael","Lyne, Adrian"
1992,117,Patriot Games,Action,"Ford, Harrison","Noyce, Phillip"
1981,106,"Woman Next Door, The",Drama,"Depardieu, Gérard","Truffaut, François"
1992,97,Hunting,Mystery,"Savage, John","Howson, Frank"
1991,115,Bataan,War,"Taylor, Robert",
1924,110,"Siegfried, The Nibelungenlied",Drama,"Richter, Paul","Lang, Fritz"
1991,90,"Henry, Portrait of a Serial Killer",Horror,"Rooker, Michael",
1988,118,"Big Blue, The",Drama,"Barr, Jean-Marc","Besson, Luc"
1991,115,Flight of the Intruder,Drama,"Glover, Danny","Milius, John"
1986,108,Nobody's Fool,Comedy,"Roberts, Eric","Purcell, Evelyn"
1985,97,After Hours,Comedy,"Dunne, Griffin","Scorsese, Martin"
1985,104,Desperately Seeking Susan,Comedy,"Quinn, Aidan","Seidelman, Susan"
1971,102,A New Leaf,Comedy,"Matthau, Walter","May, Elaine"
1959,91,Killers of Kilimanjaro,Action,"Taylor, Robert","Thorpe, Richard"
1926,126,Don Juan,Action,"Barrymore, John","Crosland, Alan"
1987,102,Babette's Feast,Drama,"LaFont, Jean-Philippe","Axel, Gabriel"
1989,118,"Vincent, Francois, Paul & the Others",Drama,"Montand, Yves",
1988,141,Thunderball,Action,"Connery, Sean","Young, Terrence"
1926,66,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur","Hitchcock, Alfred"
1988,103,Appointment with Death,Mystery,"Ustinov, Peter","Donaggio, Michael Winner"
1974,128,Murder on the Orient Express,Mystery,"Balsam, Martin","Lumet, Sidney"
1955,115,Blood Alley,War,"Wayne, John","Wellman, William"
1977,136,"Spy Who Loved Me, The",Action,"Moore, Roger","Gilbert, Lewis"
1988,100,Storm,Action,"Palfy, David","Winning, David"
1991,89,Bloodbath,Horror,"Hopper, Dennis",
1989,103,Miami Cops,Action,"Roundtree, Richard","Bradley, Al"
